,longitude,latitude,gravity,traffic,apartments,cinemas,clinics,colleges,communityCentres,conferenceCentres,dentists,eventsVenues,fastFoods,hospitals,hotels,leisureFitnessCentres,leisureStadiums,motorwayLinks,motorways,parkings,placesOfWorship,restaurants,shopMalls,shopSupermarkets,sportsCentres,sportsHalls,stadiums,substationMinorDistributions,theatres,universities
47,9.48366,55.3608,463.697,28.7152,113.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,143.599,0.0,0.0,177.985,0.0,0.0,0.0,0.0,0.0,0.0
48,9.51789,56.2008,9142.7,2.04962,114.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8581.6,335.086,0,109.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,10.3397,55.4103,14656.3,35.9605,1208.83,0.0,443.667,0.0,0.0,0.0,0.0,0.0,2173.85,0.0,0.0,275.018,0.0,0.0,0.0,0,0.0,2478.04,4517.84,3523.07,0.0,0.0,0.0,0.0,0.0,0.0
50,12.2293,55.5609,12613.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4009.81,0.0,90.5909,0.0,0.0,5252.41,3170.4,0,0.0,90.5909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,12.6054,55.6211,1892.48,9.15526,420.805,0.0,0.0,313.501,0.0,0.0,0.0,177.146,0.0,0.0,0.0,0.0,0.0,227.931,15.0156,0,65.9195,130.939,0.0,147.953,0.0,0.0,0.0,384.112,0.0,0.0
52,9.32942,54.8262,3965.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3660.65,304.699,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,12.4889,55.7654,13920.1,11.0649,7874.45,0.0,108.361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7992,0,214.41,97.2906,0.0,3566.89,0.0,235.326,0.0,1799.52,0.0,0.0
54,11.9003,55.7084,7029.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49.3647,0.0,0.0,6222.49,0.0,0.0,0.0,757.877,0.0,0.0
55,9.13578,55.7314,7744.73,0.0,0.0,0.0,0.0,0.0,120.892,0.0,0.0,48.8326,0.0,0.0,1627.76,0.0,0.0,0.0,3.2969,0,0.0,5800.29,0.0,0.0,0.0,0.0,0.0,0.0,143.656,0.0
56,10.2372,56.2307,6245.13,1.04697,720.997,0.0,0.0,0.0,120.028,0.0,0.0,345.722,213.413,0.0,0.0,0.0,0.0,343.671,23.8208,0,281.841,119.14,0.0,4075.45,0.0,0.0,0.0,0.0,0.0,0.0
57,10.1775,56.1372,2793.57,4.61144,632.872,0.0,64.8873,0.0,96.1653,0.0,0.0,0.0,0.0,0.0,0.0,1227.53,0.0,0.0,14.4936,0,307.211,56.2751,0.0,389.52,0.0,0.0,0.0,0.0,0.0,0.0
58,12.1864,55.4824,1854.5,569.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907.449,0.0,0.0,157.722,0.0,0.0,15.7098,0,105.374,0.0,0.0,99.0266,0.0,0.0,0.0,0.0,0.0,0.0
59,10.0654,56.1781,11534.4,0.363736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7996.8,3537.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,10.0311,56.4707,12762.8,0.0,7279.22,44.3155,83.5571,0.0,112.099,0.0,0.0,94.2325,0.0,129.478,0.0,95.4236,0.0,0.0,0.0,0,256.669,177.011,0.0,4327.0,0.0,0.0,0.0,0.0,163.78,0.0
61,10.0242,57.1,3515.48,0.271356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.016,0.0,0.0,2401.97,38.0434,0,98.4116,118.682,0.0,742.08,0.0,0.0,0.0,0.0,0.0,0.0
62,9.90815,57.0339,15874.1,27.5148,7702.94,0.0,0.0,2134.25,0.0,0.0,0.0,52.3848,0.0,143.58,0.0,0.0,0.0,0.0,4.12006,0,0.0,50.2693,0.0,5582.57,0.0,0.0,0.0,0.0,71.477,104.954
63,9.09573,55.7359,372.631,0.0,236.125,0.0,0.0,0.0,0.0,0.0,42.6895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.4376,0,0.0,0.0,0.0,46.3795,0.0,0.0,0.0,0.0,0.0,0.0
64,9.5784,56.1858,15075.1,2.68507,0.0,0.0,47.6099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.742,13938.6,29.9967,0,0.0,0.0,0.0,685.494,0.0,0.0,0.0,0.0,0.0,0.0
65,12.2314,55.5607,15306.0,0.0,0.0,0.0,0.0,0.0,58.4717,0.0,0.0,0.0,7500.0,0.0,68.4697,0.0,0.0,4440.16,3170.4,0,0.0,68.4697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,11.6519,55.7006,1729.2,3.72882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1585.76,139.704,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,9.64665,55.7945,421.533,221.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1401,0,188.394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,8.38584,55.4383,3848.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,67.4529,258.041,0.0,3522.81,0.0,0.0,0.0,0.0,0.0,0.0
