,longitude,latitude,gravity,traffic,apartments,cinemas,clinics,colleges,communityCentres,conferenceCentres,dentists,eventsVenues,fastFoods,hospitals,hotels,leisureFitnessCentres,leisureStadiums,placesOfWorship,restaurants,shopMalls,shopSupermarkets,sportsCentres,sportsHalls,stadiums,substationMinorDistributions,theatres,universities,ratios_length,minCapacity,maxCapacity,slug,use,kommune
48,8.38584,55.4383,14467.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.677,766.943,0.0,13551.0,0.0,0.0,0.0,0.0,0,0,2,300.0,300.0,6ee2rz,2.38,Fanø
49,8.58381,56.4869,44050.6,57.4639,785.355,3.07388,283.806,0.0,10.9402,0.0,0.0,0.0,20244.3,0.0,0.0,0.0,102.118,289.137,291.712,0.0,21982.7,0.0,0.0,0.0,0.0,0,0,2,240.0,240.0,9eknkd,2.39,Struer
50,8.30279,56.5497,17649.4,7.23953,4053.37,3.65079,0.0,0.0,38.349,961.935,0.0,0.0,0.0,64.7413,0.0,0.0,0.0,3654.22,8035.93,0.0,829.958,0.0,0.0,0.0,0.0,0,0,8,11.0,80.0,xrqjdj,2.43,Lemvig
51,9.99505,57.4565,27132.3,1084.88,3099.62,0.0,0.0,0.0,38.7132,0.0,143.666,0.0,1502.19,82.2087,0.0,146.188,1256.08,1231.04,9184.48,136.507,9226.73,0.0,0.0,0.0,0.0,0,0,11,67.0,300.0,7kne9d,2.48,Hjørring
52,9.90386,57.0224,15196.5,0.0,11870.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,702.276,2156.07,0.0,467.8,0.0,0.0,0.0,0.0,0,0,2,43.0,50.0,5w38e,2.48,Aalborg
53,8.96735,56.1567,2137.02,0.0,75.0903,0.0,1960.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,100.0,100.0,k2jp28,2.53,Herning
54,11.5153,54.7765,15457.9,0.0,806.884,0.0,0.0,0.0,0.0,0.0,0.0,0.684433,0.0,0.0,0.0,0.0,591.332,644.686,385.782,0.0,13028.5,0.0,0.0,0.0,0.0,0,0,2,150.0,150.0,gmmjjm,2.54,Lolland
55,8.49344,55.6105,18666.7,0.0,85.4173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.083,39.0456,0.0,4314.47,0.0,0.0,0.0,20.0634,13829.6,0.0,0.0,0.0,0.0,0,0,6,60.0,300.0,kj3rmd,2.55,Varde
56,12.1732,55.4465,17829.8,0.0,16159.2,0.0,0.0,0.0,9.40867,0.0,0.0,0.0,0.0,0.0,0.0,261.812,0.0,199.857,248.948,0.0,950.593,0.0,0.0,0.0,0.0,0,0,6,60.0,300.0,zpxddy,2.56,Køge
57,10.4123,57.5925,36836.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.068,15517.1,0.0,21083.0,0.0,0.0,0.0,0.0,0,0,4,300.0,300.0,qzzn72,2.62,Frederikshavn
58,8.85353,56.7931,27109.3,0.0,0.0,5.35791,0.0,0.0,0.0,0.0,0.0,0.730183,0.0,0.0,0.0,0.0,0.0,3610.75,994.475,0.0,22313.7,0.0,184.294,0.0,0.0,0,0,6,60.0,300.0,6e3972,2.63,Morsø
59,12.5732,55.6685,32646.8,9.72633,1259.03,3.22512,1582.92,106.105,140.657,0.0,5.30781,11.9719,946.508,0.0,42.787,336.516,0.0,503.542,15050.9,0.0,1515.56,449.152,0.0,0.0,10682.9,0,0,2,43.0,50.0,952w6,2.67,København
60,9.56324,56.1868,22294.9,668.169,775.972,0.0,18937.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.52,125.417,196.089,147.951,0.0,419.492,0.0,0.0,0.0,0.0,0,0,6,150.0,150.0,xpxqw3,2.74,Silkeborg
61,12.5931,55.7013,43956.5,27.1284,4501.99,2.09064,441.057,0.0,32.026,648.624,0.0,0.0,1009.35,0.0,0.0,332.8,0.0,860.632,6652.48,18.2547,1392.12,1006.76,0.0,0.0,27031.2,0,0,2,43.0,50.0,3ge6r,2.89,København
62,11.1382,54.829,30484.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.2629,0.0,128.745,0.0,1452.84,12759.1,0.0,16076.6,0.0,0.0,0.0,0.0,0,0,1,300.0,300.0,257pjw,2.91,Lolland
63,9.9585,57.588,21736.0,0.0,2858.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1452.95,14911.4,0.0,2512.94,0.0,0.0,0.0,0.0,0,0,3,60.0,300.0,yr7yq2,2.94,Hjørring
64,9.12764,55.7337,9339.53,0.0,268.346,0.0,0.0,0.0,534.569,0.0,1.52156,0.0,0.0,0.0,366.986,0.0,0.0,171.54,7725.2,0.0,271.363,0.0,0.0,0.0,0.0,0,0,4,150.0,150.0,wxjqew,3.04,Billund
65,9.44927,56.4539,15743.8,1.13434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5926.21,0.0,0.0,0.0,0.0,766.628,0.0,0.0,9049.84,0.0,0.0,0.0,0.0,0,0,4,150.0,150.0,257jn3,3.06,Viborg
66,11.7995,55.4602,7703.67,165.487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1268.5,306.151,0.0,5963.53,0.0,0.0,0.0,0.0,0,0,6,60.0,300.0,6ek755,3.11,Ringsted
67,12.5867,56.026,14322.0,14.1305,1974.06,26.5579,0.0,0.0,27.6403,0.0,0.0,13.1287,7720.71,0.0,0.0,3121.91,0.0,328.526,432.448,0.0,616.097,0.0,46.8048,0.0,0.0,0,0,2,300.0,300.0,9e6z9g,3.19,Helsingør
68,12.3714,55.818,27980.2,110.697,2788.9,2.61912,1727.34,0.0,0.0,0.0,0.0,0.0,396.231,0.0,0.0,3773.42,0.0,1580.86,504.345,20.7913,685.989,0.0,0.0,0.0,16389.0,0,0,2,43.0,50.0,yr8252,3.19,Furesø
69,11.1418,54.8298,36552.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.506,0.0,90.7702,0.0,968.667,11783.8,0.0,23564.4,0.0,0.0,0.0,0.0,0,0,1,300.0,300.0,p5y8dp,3.2,Lolland
70,12.4962,55.8895,9408.0,0.0,1497.78,1.1235,0.0,0.0,0.0,0.0,0.0,0.0,452.973,0.0,0.0,0.0,0.0,0.0,1404.8,214.238,3511.68,0.0,0.0,0.0,2325.39,0,0,2,300.0,300.0,8ey3gw,3.28,Hørsholm
71,10.6085,55.0601,59916.9,26.2511,13074.5,110.508,0.0,127.579,158.223,0.0,24.0898,4.07356,963.446,257.189,0.0,466.788,0.0,10829.2,18315.9,176.56,8435.62,0.0,0.0,0.0,6947.09,0,0,3,22.0,75.0,mwrmwy,3.29,Svendborg
