,Unnamed: 0,slug,status_3_ratio_mean,status_3_ratio_var,latitude,longitude,ratios,ratios_length,minCapacity,maxCapacity,NAME_2
67,112,8ndxx9,0.2667824074074074,0.1022883249509062,55.687109,12.52594,"[0.17847222222222223, 0.35509259259259257]",2,43.0,50.0,Frederiksberg
68,269,pzg7je,0.2661178107606679,0.1233773630601099,55.854067,11.578983,"[0.2680890538033395, 0.2641465677179963]",2,150.0,150.0,Odsherred
69,297,reqyyp,0.2660041599260457,0.1952910799641979,55.698081,12.557008,[0.26600415992604576],1,50.0,50.0,København
70,361,ymz9ek,0.262421639192013,0.0762506833031183,57.018276,9.993176,"[0.2971906199210587, 0.2303227304388205, 0.2154631994427676, 0.3067100069654052]",4,300.0,300.0,Aalborg
71,246,njjg6y,0.2603798065581505,0.0419742894080796,56.430273,10.061784,"[0.2208067940552017, 0.1910828025477707, 0.32554847841472045, 0.25218211842415666, 0.3161122906345836, 0.18895966029723993, 0.24062278839348902, 0.24015097900448218, 0.2356687898089172, 0.24722811983958481, 0.29653220099079974, 0.3996225524887945, 0.20547298891247937, 0.386411889596603, 0.25359754659117717, 0.1660769049304081]",16,250.0,250.0,Randers
72,369,yr7g6z,0.2577469711090401,0.0662852279679852,55.731753,12.389059,"[0.3337998600419874, 0.2234389561975769, 0.1337371854613234, 0.34040074557315936]",4,300.0,300.0,Ballerup
73,95,7w9qj2,0.2560296846011132,0.1905226694967223,55.465691,8.445434,[0.2560296846011132],1,50.0,50.0,Esbjerg
74,293,r32mkw,0.2510980392156862,0.0357098109974357,55.668659,12.605793,"[0.05341176470588235, 0.3221176470588235, 0.3527058823529412, 0.3225882352941176, 0.09670588235294118, 0.35905882352941176]",6,60.0,300.0,København
75,27,39gnqe,0.2440933426443203,0.0355988343584632,55.063927,10.615416,"[0.0, 0.0, 0.35591247672253257, 0.3817504655493482, 0.39501862197392923, 0.3784916201117318, 0.2881750465549348, 0.15339851024208567]",8,22.0,300.0,Svendborg
76,65,628yye,0.2419653179190751,0.0947116777978,55.007167,11.915802,"[0.2945664739884393, 0.18936416184971097]",2,43.0,50.0,Vordingborg
77,146,dne2dr,0.2354549685827321,0.0600479365773792,55.496577,9.759053,"[0.26599953455899467, 0.13777053758436117, 0.25971608098673493, 0.27833372120083777]",4,22.0,300.0,Middelfart
78,398,zpx6mk,0.2347009735744089,0.1070288115594507,55.330264,11.139881,"[0.23157162726008346, 0.23783031988873435]",2,300.0,300.0,Slagelse
79,207,k2z5z5,0.2321974148061104,0.0207693566197583,55.661315,12.4744,"[0.49776733254994127, 0.10105757931844889, 0.4397179788484136, 0.1309048178613396, 0.08836662749706228, 0.07285546415981199, 0.09165687426556991, 0.07802585193889541, 0.21950646298472384, 0.4484136310223267, 0.1600470035252644, 0.4580493537015276]",12,22.0,300.0,Hvidovre
80,24,39g8nx,0.2316253188036169,0.1256044310100156,55.66562,12.400319,"[0.23858103408300488, 0.22466960352422907]",2,43.0,50.0,Glostrup
81,305,rpe5py,0.2306797020484171,0.0406821300589877,55.663867,12.53512,"[0.17574487895716945, 0.20763500931098697, 0.24068901303538176, 0.2918994413407821, 0.2413873370577281, 0.22672253258845437]",6,300.0,300.0,København
82,317,wj6pe7,0.227062094531974,0.0988364188548468,56.951909,8.692122,"[0.26413345690454126, 0.18999073215940684]",2,43.0,50.0,Thisted
83,175,exxrn6,0.216984505363528,0.02550383125383,55.643012,12.274821,"[0.24839094159713945, 0.2433849821215733, 0.2069129916567342, 0.2362336114421931, 0.20905840286054828, 0.19594755661501786, 0.21549463647199046, 0.20119189511323005, 0.21120381406436234, 0.2171632896305125, 0.19284862932061977, 0.21239570917759237, 0.20882002383790227, 0.24266984505363529, 0.20715137067938022, 0.19880810488676998, 0.3032181168057211, 0.3775923718712753, 0.21239570917759237, 0.2133492252681764, 0.17497020262216925, 0.19499404052443384, 0.1902264600715137, 0.20572109654350418, 0.18212157330154946, 0.16924910607866508, 0.19785458879618595, 0.2061978545887962]",28,250.0,250.0,Høje Taastrup
84,335,x675q,0.2131718829263989,0.0376285589081645,55.66017,12.28545,"[0.32105628908964556, 0.2918693537178596, 0.32267778549918924, 0.2128793143386611, 0.1553960166743863, 0.0444650301065308, 0.14381658175081055]",7,22.0,75.0,Høje Taastrup
85,288,qpzd63,0.2107831468697929,0.0361650452651107,55.465674,8.444136,"[0.14948821709116877, 0.20304689359676267, 0.19328731254463222, 0.21280647464889313, 0.19328731254463222, 0.2563675315401095, 0.19138300404665556, 0.2818376577005475, 0.20947393477743395, 0.2073315877172102, 0.18400380861699595, 0.24708402761247322]",12,250.0,250.0,Esbjerg
86,339,xp67g9,0.2078541374474053,0.0251101475290547,55.53418,12.21714,"[0.12155212716222534, 0.40042075736325383, 0.1456287985039738, 0.4277699859747546, 0.16806919121084618, 0.16666666666666666, 0.15497896213183732, 0.18676951846657316, 0.19682094436652642, 0.10986442262739599]",10,22.0,150.0,Solrød
87,258,p5zr9g,0.2074798619102416,0.0973082192651744,55.31711,10.789783,"[0.2193325661680092, 0.1956271576524741]",2,300.0,300.0,Nyborg
88,298,rewedg,0.2051764705882353,0.0567394957983192,55.745197,12.556573,"[0.30211764705882355, 0.01811764705882353, 0.2952941176470588]",3,60.0,300.0,Gentofte
89,180,gex3p9,0.2028126452812645,0.0572938774685182,55.333163,8.770313,"[0.24848907484890748, 0.27405857740585776, 0.08391445839144585, 0.20478847047884705]",4,43.0,300.0,Esbjerg
90,127,998pnx,0.2024326404926866,0.0337237079561943,55.658104,12.335245,"[0.28819043217009477, 0.04549653579676674, 0.15265588914549655, 0.40115473441108546, 0.09030023094688222, 0.2369515011547344]",6,22.0,150.0,Albertslund
91,106,8ey33w,0.2002845399936769,0.1013187045901346,55.73557,12.362379,"[0.20518495099589, 0.1953841289914638]",2,300.0,300.0,Ballerup
92,51,5y3zkg,0.1978130975143403,0.028867493238646,55.512586,9.462869,"[0.2038718929254302, 0.21056405353728488, 0.3711759082217973, 0.11806883365200765, 0.33604206500956024, 0.18905353728489482, 0.1842734225621415, 0.10922562141491396, 0.30664435946462715, 0.07409177820267686, 0.1747131931166348, 0.15152963671128106, 0.15105162523900573, 0.1111376673040153, 0.36233269598470363, 0.21582217973231357, 0.3809751434034417, 0.13217017208413, 0.1828393881453155, 0.16252390057361377]",20,250.0,250.0,Kolding
93,52,5y6n8g,0.1958041958041958,0.0652760363648684,55.41794,11.33802,"[0.2177156177156177, 0.16736596736596737, 0.20233100233100232]",3,13.0,50.0,Slagelse
94,287,qpp9jr,0.1931415468000833,0.022200541831551,55.627132,12.624391,"[0.029080675422138838, 0.23287992495309567, 0.19136960600375236, 0.4333958724202627, 0.2553939962476548, 0.05042213883677298, 0.06636960600375234, 0.17706378986866791, 0.3022983114446529]",9,60.0,300.0,Tårnby
95,126,995rz5,0.191419911401259,0.0393112115116111,55.678653,11.091186,"[0.24131499183958965, 0.22709256236885056, 0.22662625320587548, 0.2685940778736302, 0.0995570062951737, 0.0853345768244346]",6,43.0,300.0,Kalundborg
96,380,z2w6mk,0.1911661603178312,0.0350146674910428,55.666096,12.586647,"[0.09838747370881047, 0.2589390044402898, 0.18906286515541015, 0.29422762327646645, 0.1731713017060061, 0.13320869362000468]",6,150.0,150.0,København
97,257,p5y8dp,0.1881211000693321,0.1527668572685075,54.82984,11.141775,[0.1881211000693321],1,300.0,300.0,Lolland
98,141,d9ekwk,0.1822235532927356,0.0267370083647928,56.493334,8.591714,"[0.16142557651991615, 0.053109713487071976, 0.12415560214302353, 0.4085720941066853, 0.22827859305846726, 0.11483810854880037, 0.18518518518518517]",7,11.0,50.0,Struer
99,32,39xdqr,0.1808165158895847,0.0848732078570927,56.130112,10.164427,"[0.1820292547016485, 0.17977267455346788]",2,300.0,300.0,Århus
100,44,5nd93r,0.1784059314179796,0.0869356738836979,55.158749,8.769447,"[0.20088044485634848, 0.15593141797961074]",2,150.0,300.0,Tønder
101,382,z2z3zn,0.1779048063462436,0.0972223069220512,55.394824,10.348554,"[0.18618758749416706, 0.16962202519832012]",2,300.0,300.0,Odense
102,289,qpzp2r,0.1778302505575232,0.023589166638937,55.70593,12.531883,"[0.24840613931523023, 0.21818181818181817, 0.019834710743801654, 0.24297520661157024, 0.23423848878394332, 0.027863046044864226, 0.2781582054309327, 0.29775678866587957, 0.03305785123966942]",9,60.0,300.0,København
103,192,j8552,0.1774608370353051,0.0728033734074375,55.725944,12.415833,"[0.07341594575637128, 0.281505728314239]",2,43.0,50.0,Herlev
104,62,628y5k,0.1756380510440835,0.0869719181619006,55.676459,12.562006,"[0.21020881670533642, 0.20046403712296984, 0.1923433874709977, 0.19419953596287703, 0.08097447795823666]",5,22.0,50.0,København
105,354,ym2dwz,0.1748894577612287,0.0848046025354835,55.708884,12.524618,"[0.15266464975564348, 0.19711426576681407]",2,150.0,150.0,København
106,3,257pjw,0.1708889912482727,0.1417185829287674,54.828983,11.138163,[0.1708889912482727],1,300.0,300.0,Lolland
107,374,yry5yp,0.1690597498842056,0.0740297388428375,55.736896,12.574793,"[0.16489115331171839, 0.1732283464566929]",2,43.0,50.0,Gentofte
108,142,deg8n,0.1655560661764706,0.0567609410066314,55.677906,12.560925,"[0.004825367647058824, 0.32628676470588236]",2,43.0,50.0,København
109,249,njxpxn,0.1654701250578971,0.0846702792786963,56.55181,8.310629,"[0.15956461324687354, 0.1713756368689208]",2,170.0,170.0,Lemvig
110,88,7n9r77,0.1640889318511358,0.0781149940215373,55.73557,12.362379,"[0.17199612403100775, 0.15659739004349926]",2,300.0,300.0,Ballerup
111,376,z22293,0.1640138408304498,0.0779617349260613,55.812687,12.376678,"[0.13194925028835064, 0.19607843137254902]",2,150.0,150.0,Furesø
112,122,95286,0.1606936416184971,0.074079074716731,56.181548,10.125218,"[0.14658959537572255, 0.17479768786127167]",2,43.0,50.0,Århus
113,323,wqz262,0.1604995374653099,0.0779813372655737,55.727117,12.472608,"[0.150786308973173, 0.1702127659574468]",2,150.0,150.0,Gladsaxe
114,377,z222px,0.1486204498029214,0.0732222383293894,55.962127,11.850467,"[0.16438673776953397, 0.13285416183630883]",2,150.0,150.0,Halsnæs
115,378,z267wr,0.1480537534754402,0.0727447628109373,56.480421,8.606704,"[0.14735866543095458, 0.14874884151992585]",2,150.0,150.0,Struer
116,138,9k9eg3,0.1438749803180601,0.0273500648451646,55.720242,12.449674,"[0.26877657061880017, 0.024090694378837978, 0.19485120453471894, 0.1724137931034483, 0.013934813415210204, 0.1891828058573453]",6,60.0,300.0,Herlev
117,295,re9ney,0.1417427256416257,0.0174990856994367,55.645646,12.460007,"[0.024338871986894453, 0.2291130353381699, 0.18605195413058742, 0.187456119822139, 0.020828457758015447, 0.1764568219049848, 0.15773461268429675, 0.2728761993915282, 0.020828457758015447]",9,60.0,300.0,Hvidovre
118,186,gmje2d,0.1412196240256762,0.0281046244337855,55.471802,8.434331,"[0.1373223292067859, 0.1276937184777625, 0.09949564419990829, 0.12127464465841357, 0.22283356258596973, 0.1386978450252178]",6,300.0,300.0,Esbjerg
119,85,7n3ppw,0.1337259521005104,0.0387421224923679,55.673037,12.483238,"[0.12626619552414606, 0.24428739693757362, 0.030624263839811542]",3,60.0,300.0,København
120,320,wqj7n9,0.1336496181439481,0.064946144796729,55.534488,12.214594,"[0.06526267067808378, 0.20203656560981254]",2,43.0,50.0,Solrød
121,200,jrqpqp,0.1333477771037351,0.0125645487372831,55.642029,12.084084,"[0.23570066730219255, 0.2011439466158246, 0.23570066730219255, 0.23069590085795996, 0.12368922783603432, 0.1632507149666349, 0.03336510962821735, 0.06387035271687322, 0.03336510962821735, 0.05743565300285987, 0.0]",11,22.0,150.0,Roskilde
122,30,39x2d3,0.1330423155576529,0.0441907736003642,54.831845,9.351153,"[0.2078810759792355, 0.18692471088033985, 0.004247286455875413]",3,60.0,300.0,Aabenraa
123,220,kpw3zm,0.1285117250986765,0.0137511635294664,55.073156,9.335971,"[0.18249361504527514, 0.4439284885070815, 0.10076619456698398, 0.008822846528906431, 0.150452751335036, 0.058741583468771764, 0.032737404225679126, 0.05015091711167866]",8,22.0,120.0,Aabenraa
124,73,6k7qmg,0.1263732080314994,0.0101304814943152,56.429629,10.063318,"[0.10624551328068917, 0.15458243598947116, 0.10863843024647045, 0.020339794209140942, 0.3560660445082556, 0.012682459918640823, 0.012682459918640823, 0.012921751615218953, 0.3050969131371141, 0.03780808805934434, 0.06963388370423547, 0.012443168222062694, 0.1191672648959081, 0.3601340033500838, 0.012921751615218953, 0.007178750897343862, 0.040918880114860015, 0.31825795644891125, 0.34099066762383345, 0.11462072266092367, 0.31610433117970804, 0.05719071548217277, 0.01507537688442211, 0.009093084469968891, 0.006221584111031347, 0.2857142857142857, 0.09810959559703278, 0.014836085187843982, 0.2586743240009572, 0.29911462072266093, 0.012203876525484566, 0.03158650394831299, 0.06293371620004785, 0.017707585546781528, 0.3108399138549892, 0.014596793491265853, 0.30031107920555156, 0.358698253170615, 0.010528834649437664, 0.030868628858578606, 0.07681263460157932, 0.08446996889207944, 0.03613304618329744, 0.32926537449150517]",44,22.0,300.0,Randers
125,244,njj9qm,0.1251728907330567,0.0249348008861104,56.955035,8.696964,"[0.1267865375749193, 0.13854310742277548, 0.13047487321346243, 0.12425080682342093, 0.09243891194098663, 0.13854310742277548]",6,300.0,300.0,Thisted
126,104,8dxgy,0.1248535270681978,0.0409548640696398,55.678306,12.45775,"[0.02348993288590604, 0.03355704697986577, 0.04697986577181208, 0.026845637583892617]",4,43.0,50.0,Rødovre
127,45,5njy29,0.1233948167172542,0.0641139279226835,54.832237,11.13298,"[0.13915479803875788, 0.10763483539575064]",2,300.0,300.0,Lolland
128,393,zpnnrx,0.1202700580938922,0.0398701429917672,55.507425,9.457325,"[0.01460197833254828, 0.17922750824305228, 0.1669806877060763]",3,60.0,300.0,Kolding
