,Unnamed: 0,slug,status_3_ratio_mean,status_3_ratio_var,latitude,longitude,ratios,ratios_length,minCapacity,maxCapacity
256,34,3geer,0.0753646677471637,0.0355995369727415,55.70182,11.656742,"[0.05579995369298449, 0.0949293818013429]",2,43.0,50.0
262,189,gx725,0.0716202745188252,0.0340113511990144,56.84363,9.74208,"[0.028985507246376812, 0.11847250977685761]",2,43.0,50.0
263,256,p5y3qe,0.0714983424106085,0.0071023657007098,57.389315,10.510433,"[0.08808903623016813, 0.05612124082405873, 0.04878048780487805, 0.05470044991712053, 0.06156760596732181, 0.06867156050201279, 0.04286052569263557, 0.04949088325834715, 0.08382666350935354, 0.11058489225668956, 0.08524745441629174, 0.0989817665166943, 0.07056594837793038, 0.0674875680795643, 0.07032914989344068, 0.08666824532322993]",16,250.0,250.0
274,233,mwr7ke,0.0679819441201649,0.012613610343897,55.886381,9.786466,"[0.046929722157366335, 0.09922951202428204, 0.06350688769554051, 0.10623394816717255, 0.0352556619192155, 0.05673593275741303]",6,150.0,150.0
275,238,n377q,0.067595818815331,0.0322559518412496,55.700608,11.651887,"[0.060859465737514516, 0.0743321718931475]",2,43.0,50.0
278,337,x69yj,0.0665666820489155,0.0294358440408233,55.56066,12.2314,"[0.0265343793262575, 0.1065989847715736]",2,43.0,50.0
282,219,kppjzy,0.0641382509858501,0.031790202691975,57.099975,10.02423,"[0.06502554575011611, 0.06332637439109255]",2,300.0,300.0
284,49,5wmrn,0.063455303381195,0.0299080951757128,56.17812,10.06543,"[0.015979620194534506, 0.1109309865678555]",2,43.0,50.0
289,260,pjxemy,0.0619659175104964,0.0072535830985761,55.354133,10.420607,"[0.036799209681402816, 0.24944430723635466, 0.04667819214620894, 0.10249444307236355, 0.03803408248950358, 0.08471227463571253, 0.010372931588046431, 0.008644109656705359, 0.013830575450728575, 0.02657307595888694]",10,50.0,300.0
294,309,rpppx6,0.0595705379819903,0.0103458355351762,55.877056,12.476933,"[0.04479335026552759, 0.04756407296236435, 0.08958670053105518, 0.10228584622489033, 0.03278688524590164, 0.040406372662202726]",6,150.0,150.0
295,397,zprjyk,0.0594436310395314,0.0239665588130825,54.998079,12.000319,"[0.0849194729136164, 0.006734992679355783, 0.08667642752562225]",3,60.0,300.0
297,178,geg28p,0.0587415130940834,0.0079632230058108,55.391936,11.352533,"[0.08341416100872939, 0.13554801163918526, 0.07977691561590688, 0.12148399612027158, 0.0019398642095053346, 0.013094083414161009, 0.014791464597478177, 0.01988360814742968]",8,50.0,300.0
299,191,gx775,0.0586405529953917,0.0342996034253681,54.82622,9.32942,"[0.03225806451612903, 0.08502304147465438]",2,43.0,50.0
301,99,7wg2m7,0.0579317025914264,0.0116958610750747,54.898954,11.918018,"[0.07750060547348026, 0.0956648098813272, 0.06442237829983047, 0.0862194235892468, 0.011140712036812788, 0.011310548315711827]",6,50.0,300.0
304,313,w2k7y,0.0572567004944054,0.00612353838279,56.094496,8.23574,"[0.05128805620608899, 0.05200281096275474, 0.054813773717498245, 0.03958772546263762, 0.05130007027406887, 0.06207542750058562, 0.06722885921761537, 0.06607310215557638, 0.07002341920374708]",9,22.0,300.0
317,94,7w9ezp,0.0493504397643831,0.005995654554398,55.413935,10.055847,"[0.10167029774872913, 0.0718954248366013, 0.09489227789881384, 0.03606874848704914, 0.08206245461147423, 0.04793028322440087, 0.007262164124909223, 0.008853910477127398, 0.012048192771084338, 0.02768361581920904]",10,50.0,300.0
318,105,8e8xq6,0.0492085879956119,0.0088510337857268,55.488631,12.16242,"[0.061824165491302305, 0.06723084156088388, 0.009167842031029619, 0.06041372825575929, 0.009402914903620122, 0.08721203573107664]",6,60.0,300.0
321,240,n9qkrq,0.047676669893514,0.0163659394894644,55.524597,8.589284,"[0.06098741529525654, 0.004356243949661181, 0.0776863504356244]",3,60.0,300.0
322,310,rq779,0.0475307210758172,0.0247579318597999,55.51196,9.39401,"[0.015766287966612568, 0.07929515418502203]",2,43.0,50.0
324,311,rq7m9,0.0469478098788443,0.030363555420511,57.221955,9.941859,"[0.022833178005591797, 0.07106244175209693]",2,43.0,50.0
327,314,w688p,0.045808290953922,0.0286204473496128,56.038029,9.000103,"[0.026352288488210817, 0.06588072122052704]",2,43.0,50.0
333,236,mzq7x3,0.0432635786503644,0.0072999768410942,55.639719,11.83078,"[0.007994356924523865, 0.11145074065365625, 0.04961203856101575, 0.050082294850693626, 0.011991535386785799, 0.028450505525511403]",6,60.0,300.0
334,383,z655z,0.0426070935052971,0.0198382141675927,55.51409,9.40002,"[0.012897282358360202, 0.07231690465223399]",2,43.0,50.0
336,144,degzn,0.0415416570505423,0.0211270779618888,56.17521,10.06587,"[0.016385875836602816, 0.06669743826448188]",2,43.0,50.0
338,102,8drwq,0.0406796717758166,0.0193216801508691,56.039672,9.004974,"[0.014166279609846726, 0.07268927078495123]",2,43.0,50.0
339,232,mwr3g9,0.0405582542987123,0.0069540612555049,55.626112,12.097063,"[0.03469812630117974, 0.018505667360629193, 0.04533888503354152, 0.05343511450381679, 0.04765209345362017, 0.04371963913948647]",6,150.0,150.0
346,391,zne5km,0.0383576445164775,0.0075989077254369,55.54566,12.215369,"[0.019448946515397084, 0.06297754109747626, 0.024311183144246355, 0.0472331558231072, 0.027089604075017364, 0.049085436443621205]",6,150.0,150.0
347,351,y6d79,0.0377927196846742,0.0185157204757417,56.149722,9.766954,"[0.015766287966612568, 0.059819151402735915]",2,43.0,50.0
348,379,z2n5qn,0.0377122586648057,0.0051611854499693,55.46893,9.89515,"[0.028843917190044196, 0.055594324261456156, 0.015585019772040009, 0.038846243312398235, 0.031635264014887185, 0.05373342637822749, 0.021865550127936728, 0.055594324261456156]",8,150.0,150.0
352,19,2pxkx3,0.0365451179264267,0.0126201167306549,56.200756,9.517892,"[0.042260323593334946, 0.020043467761410288, 0.04733156242453514]",3,60.0,300.0
353,384,z657z,0.0364414622859787,0.0208309348970049,57.2226,9.93721,"[0.015502082369273484, 0.05738084220268394]",2,43.0,50.0
355,171,eq7ry,0.0346144940958555,0.0173865523697706,56.147603,9.76432,"[0.0118082889557768, 0.05742069923593424]",2,43.0,50.0
367,158,ee8gk8,0.0262403100775193,0.0133907876538802,55.065492,9.36722,"[0.01674418604651163, 0.03697674418604651]",2,43.0,50.0
368,336,x697j,0.026005547850208,0.0173004337264396,57.152389,10.161239,"[0.014331946370781322, 0.037679149329634766]",2,43.0,50.0
375,78,7kerez,0.0238695777830325,0.0013901456406351,55.166096,11.958106,"[0.04847481674154647, 0.003310475289666588, 0.022227476944904234, 0.03026720264838023, 0.01253251359659494, 0.0040198628517379995, 0.006857413100023646, 0.0011823126034523528, 0.004729250413809411, 0.02530148971388035, 0.03428706550011823, 0.0009458500827618822, 0.0030740127689761173, 0.1678883896902341, 0.028375502482856467, 0.002128162686214235, 0.009931425868999763, 0.024119177110428]",18,60.0,300.0
