longitude,latitude,gravity,Score1,Score2,Score3,Score4,Score5,Score6,Score7,Score8,Score9,Score10,Score11,Score12,Score13,Score14,Score15,Score16,Score17,Score18,Score19,Score20,Score21,Score22,Score23,Score24,Score25,Score26,Score27,Score28,Score29,Score30,Score31
10.1607,56.1258,14913,0.380995,963.802,0,0,0,15.7933,2675.63,0,108.408,21.0345,1160.2,0,0,0,40.5802,0,0,0,9405.61,131.291,0,0,268.914,121.347,0,0,0,0,0,0,0
10.1666,56.1258,11301.8,0.253014,484.063,0,0,0,10.6882,871.158,0,99.0158,0,610.962,0,0,0,29.3078,0,0,0,8588.21,257.984,0,0,186.332,163.812,0,0,0,0,0,0,0
10.1724,56.1258,6302.04,0.166504,1747.64,0,0,0,0,194.246,0,46.9493,0,269.221,0,0,0,16.2407,0,0,0,3635.39,94.2292,0,0,86.5097,211.45,0,0,0,0,0,0,0
10.1783,56.1258,15739.6,0.119658,256.998,0,0,0,0,272.663,0,20.4479,0,0,0,0,0,12.2118,0,0,0,14942.9,87.6679,0,0,0,146.512,0,0,0,0,0,0,0
10.1842,56.1258,4805.95,0,92.3538,0,0,0,0,244.005,0,0,0,0,10.2627,0,0,11.5323,0,0,0,4247.85,122.852,0,0,0,77.1006,0,0,0,0,0,0,0
10.19,56.1258,2902.37,0,137.92,0,0,0,0,104.098,0,0,0,0,12.441,0,0,7.77005,0,0,0,2529.64,59.4648,0,0,0,51.0332,0,0,0,0,0,0,0
10.1959,56.1258,14182.7,0,97.8357,0,0,0,0,47.9607,0,0,0,0,10.8118,0,0,0,0,0,0,13964.7,24.7693,0,0,0,36.6604,0,0,0,0,0,0,0
10.2017,56.1258,7549.43,0,53.7859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7495.64,0,0,0,0,0,0,0,0,0,0,0,0
10.2076,56.1258,7876.38,0,12.6028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7863.77,0,0,0,0,0,0,0,0,0,0,0,0
10.2135,56.1258,7876.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7876.01,0,0,0,0,0,0,0,0,0,0,0,0
10.0552,56.1274,1000.69,0.782016,0,0,0,0,0,297.972,0,0,0,0,0,0,0,0,0,0,0,610.307,91.6259,0,0,0,0,0,0,0,0,0,0,0
