longitude,latitude,gravity,Score1,Score2,Score3,Score4,Score5,Score6,Score7,Score8,Score9,Score10,Score11,Score12,Score13,Score14,Score15,Score16,Score17,Score18,Score19,Score20,Score21,Score22,Score23,Score24,Score25,Score26,Score27
8.96735,56.1567,12.2244,0,0.0131285,0,0.408153,0,0,0,0,0,0,0,0,0,0,0,0,11.8018,0.00125917,0,0,0,0,0,0,0,0,0
11.5153,54.7765,20.4208,0,0.145516,0,0,0,0,0,0,0.0102703,0,0,0,0,0.0248389,0,0.00218821,19.041,0.00822553,0.00667513,0,1.18206,0,0,0,0,0,0
8.49344,55.6105,8.2733,0,0.0145716,0,0,0,0,0,0,0,0.157604,0.007034,0,0.347616,0,0,0.00192824,6.55764,0,0,0,1.18691,0,0,0,0,0,0
11.6567,55.7018,14.2152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2801,0.454135,12.4526,0,0,0,0.0283246,0,0,0,0,0,0
12.1732,55.4465,9.64397,0,3.00802,0,0,0,0.0679996,0,0,0,0,0,0,0.0230177,0,0,0,6.43413,0.00263206,0.00444618,0,0.0890228,0,0,0,0,0.0147053,0
11.5965,55.4554,1.26926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05935,0.0161891,0.193723,0,0,0,0,0,0,0,0,0,0
11.9875,54.9484,13.9426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.808748,0.0212726,13.1126,0,0,0,0,0,0,0,0,0,0
10.4123,57.5925,12.8953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7591,0.00294549,0.262562,0,1.8706,0,0,0,0,0,0
8.85353,56.7931,7.76756,0,0,0.000408227,0,0,0,0,0,0.0104498,0,0,0,0,0,0,0,5.61829,0.0439377,0.016411,0,1.93082,0,0.147243,0,0,0,0
11.6072,55.4552,9.26205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09811,0.00190393,8.16204,0,0,0,0,0,0,0,0,0,0
12.5732,55.6685,19.5848,0,0.23346,0.000264913,0.349575,0.0534872,1.01264,0,0.0471293,0.184709,0.394551,0,0.00484637,0.0294709,0,0,0,12.0622,0.00660581,0.267766,0,0.141382,0.00352123,0,0,4.7506,0.0426066,0
9.33313,54.8323,15.5672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21978,0.0230845,14.3195,0,0.00480931,0,0,0,0,0,0,0,0
9.56324,56.1868,7.22344,0,0.135037,0,3.92492,0,0,0,0,0,0,0,0,0.0842051,0.00508351,0.117135,0.00370704,2.91175,0.00241422,0.00247026,0,0.0367263,0,0,0,0,0,0
8.49555,55.1464,11.8796,0,0,0,0,0,0,0,0,0,0,0,0.000489344,0,0,0,0,11.1553,0,0.298355,0,0.425388,0,0,0,0,0,0
12.5931,55.7013,19.3494,0,0.834794,0.000171726,0.0974038,0,0.230566,0.00471916,0,0,0.420745,0,0,0.0291454,0,0,0.000758609,5.44308,0.0112904,0.118352,0,0.129867,0.00789276,0,0,12.0206,0,0
11.1382,54.829,15.2204,0,0,0,0,0,0,0,0,0,0,0.0128099,0,0.0109659,0,0,0,13.4893,0.0185368,0.220769,0,1.45861,0,0,0,0,0.00948179,0
9.9585,57.588,8.24427,0,0.500978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25301,0.0180142,0.250717,0,0.221553,0,0,0,0,0,0
9.7435,56.8413,11.8631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04245,0.423124,10.3975,0,0,0,0,0,0,0,0,0,0
12.0003,54.9981,9.92938,0,0,0,0,0,0,0,0,0,8.43884,0,0,0,0,0.710009,0,0.780537,0,0,0,0,0,0,0,0,0,0
9.12764,55.7337,19.6896,0,0.0466725,0,0,0,3.60984,0,0.0126724,0,0,0,0.0389894,0,0,0,0.000860135,15.0364,0.00211081,0.128912,0,0.0237445,0,0,0,0,0.789365,0
10.189,55.3933,12.4957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26072,0.597181,10.613,0,0,0,0.024835,0,0,0,0,0,0
9.6606,56.1778,4.37693,0,0,0,0,0,0.131897,0,0,0,0,0,0,0,0,0,0,4.24503,0,0,0,0,0,0,0,0,0,0
9.44927,56.4539,12.0796,0,0,0,0,0,0,0,0,0,2.47034,0,0,0,0,0,0,8.79044,0.00963978,0,0,0.809195,0,0,0,0,0,0
11.7995,55.4602,12.0794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237287,0.00297298,11.2612,0.0166291,0.0054427,0,0.555919,0,0,0,0,0,0
9.46446,55.5264,18.0318,0,0,0,0,0,0,0,1.16037,0.0401067,0,0,0.00067776,0.0109407,0.0310909,1.41181,0.175595,14.7225,0.00135264,0.0362547,0,0.091536,0,0,0,0.349536,0,0
12.5867,56.026,17.7421,0,0.365562,0.0021786,0,0,0.198729,0,0,0.202289,3.21837,0,0,0.273045,0,0,0,13.3723,0.00430415,0.00768339,0,0.0573979,0,0.0402617,0,0,0,0
