Unnamed: 0,slug,status_3_ratio_mean,status_3_ratio_var,latitude,longitude,ratios,ratios_length,minCapacity,maxCapacity
194,jq8x28,0.2707122937485475,0.0503430710877872,55.711175,12.478455,"[0.2616778991401348, 0.25075528700906347, 0.27236811526841737, 0.2572623750871485, 0.3339530560074367, 0.35788984429467813, 0.22565651870787823, 0.20613525447362305]",8,43,300
161,eek65z,0.2672936093988725,0.0278617872657314,55.647185,12.541627,"[0.5042674253200569, 0.027738264580369845, 0.4193930772878141, 0.33712660028449504, 0.2797534376481745, 0.013276434329065908, 0.3840682788051209, 0.41536273115220484, 0.024656235182550973]",9,60,300
389,zn6djm,0.2669902912621359,0.060520511813233,57.036654,9.934661,"[0.3324086916319926, 0.31044845122515025, 0.2034211742949607, 0.22168284789644013]",4,43,300
259,pj78qw,0.2669068092028817,0.0897739492400023,55.966992,12.404039,"[0.12270508947246107, 0.41110852893330235]",2,43,50
112,8ndxx9,0.2667824074074074,0.1022883249509062,55.687109,12.52594,"[0.17847222222222223, 0.35509259259259257]",2,43,50
269,pzg7je,0.2661178107606679,0.1233773630601099,55.854067,11.578983,"[0.2680890538033395, 0.2641465677179963]",2,150,150
297,reqyyp,0.2660041599260457,0.1952910799641979,55.698081,12.557008,[0.26600415992604576],1,50,50
147,dne2jp,0.2657657657657657,0.0627568129589846,55.509767,9.767765,"[0.18757218757218758, 0.3051513051513052, 0.21667821667821668, 0.35366135366135365]",4,43,50
361,ymz9ek,0.262421639192013,0.0762506833031183,57.018276,9.993176,"[0.2971906199210587, 0.2303227304388205, 0.2154631994427676, 0.3067100069654052]",4,300,300
246,njjg6y,0.2603798065581505,0.0419742894080796,56.430273,10.061784,"[0.2208067940552017, 0.1910828025477707, 0.32554847841472045, 0.25218211842415666, 0.3161122906345836, 0.18895966029723993, 0.24062278839348902, 0.24015097900448218, 0.2356687898089172, 0.24722811983958481, 0.29653220099079974, 0.3996225524887945, 0.20547298891247937, 0.386411889596603, 0.25359754659117717, 0.1660769049304081]",16,250,250
369,yr7g6z,0.2577469711090401,0.0662852279679852,55.731753,12.389059,"[0.3337998600419874, 0.2234389561975769, 0.1337371854613234, 0.34040074557315936]",4,300,300
387,zee2q,0.2570376368964985,0.0499404959474294,55.536776,9.717684,"[0.19438444924406048, 0.3444924406047516, 0.31533477321814257, 0.0, 0.33659066232356133, 0.3801295896328294]",6,350,350
95,7w9qj2,0.2560296846011132,0.1905226694967223,55.465691,8.445434,[0.2560296846011132],1,50,50
176,eypyn,0.2539684898929845,0.0382876116971719,56.783309,9.690891,"[0.26254458977407846, 0.38287752675386444, 0.15005945303210463, 0.24684898929845422, 0.12604042806183116, 0.0925089179548157, 0.3288941736028537, 0.33507728894173605, 0.37883472057074913, 0.28109393579072534, 0.3895362663495838, 0.2858501783590963, 0.238525564803805, 0.12152199762187872, 0.16504161712247326, 0.27824019024970276]",16,150,150
338,xdrg7,0.2520271070075757,0.0343270451447424,56.122406,9.173014,"[0.11576704545454546, 0.25804924242424243, 0.3802083333333333, 0.22916666666666666, 0.4109848484848485, 0.16808712121212122, 0.31889204545454547, 0.21401515151515152, 0.23200757575757575, 0.4550189393939394, 0.10108901515151515, 0.18394886363636365, 0.34398674242424243, 0.1337594696969697, 0.2774621212121212, 0.2099905303030303]",16,250,250
293,r32mkw,0.2510980392156862,0.0357098109974357,55.668659,12.605793,"[0.05341176470588235, 0.3221176470588235, 0.3527058823529412, 0.3225882352941176, 0.09670588235294118, 0.35905882352941176]",6,60,300
93,7w2p9w,0.2463878832165277,0.0444995860279952,55.347721,11.120159,"[0.2931876307835387, 0.265054638456173, 0.26761218321320623, 0.30597535456870495, 0.2945826551964659, 0.028365496396186934, 0.2699372239014183]",7,62,270
27,39gnqe,0.2440933426443203,0.0355988343584632,55.063927,10.615416,"[0.0, 0.0, 0.35591247672253257, 0.3817504655493482, 0.39501862197392923, 0.3784916201117318, 0.2881750465549348, 0.15339851024208567]",8,22,300
111,8ndxk7,0.2432463903120633,0.0969436630139875,55.390728,11.353155,"[0.16557987890079182, 0.32091290172333486]",2,43,50
65,628yye,0.2419653179190751,0.0947116777978,55.007167,11.915802,"[0.2945664739884393, 0.18936416184971097]",2,43,50
100,7wmq3r,0.2362627197039778,0.0517959763012761,55.297279,10.840271,"[0.2511563367252544, 0.26595744680851063, 0.2791396854764107, 0.08371877890841813, 0.3013413506012951]",5,75,215
146,dne2dr,0.2354549685827321,0.0600479365773792,55.496577,9.759053,"[0.26599953455899467, 0.13777053758436117, 0.25971608098673493, 0.27833372120083777]",4,22,300
398,zpx6mk,0.2347009735744089,0.1070288115594507,55.330264,11.139881,"[0.23157162726008346, 0.23783031988873435]",2,300,300
207,k2z5z5,0.2321974148061104,0.0207693566197583,55.661315,12.4744,"[0.49776733254994127, 0.10105757931844889, 0.4397179788484136, 0.1309048178613396, 0.08836662749706228, 0.07285546415981199, 0.09165687426556991, 0.07802585193889541, 0.21950646298472384, 0.4484136310223267, 0.1600470035252644, 0.4580493537015276]",12,22,300
24,39g8nx,0.2316253188036169,0.1256044310100156,55.66562,12.400319,"[0.23858103408300488, 0.22466960352422907]",2,43,50
305,rpe5py,0.2306797020484171,0.0406821300589877,55.663867,12.53512,"[0.17574487895716945, 0.20763500931098697, 0.24068901303538176, 0.2918994413407821, 0.2413873370577281, 0.22672253258845437]",6,300,300
160,ee9wx8,0.2289420221909673,0.0637123778804583,55.733887,12.476643,"[0.323019221753399, 0.04875761837787154, 0.3150492264416315]",3,60,300
317,wj6pe7,0.227062094531974,0.0988364188548468,56.951909,8.692122,"[0.26413345690454126, 0.18999073215940684]",2,43,50
279,qke3nz,0.2201612903225806,0.0920456066136837,55.216359,9.376607,"[0.09032258064516129, 0.35]",2,43,50
132,9ek9ew,0.2199040767386091,0.034553819235918,56.784101,9.695102,"[0.3502158273381295, 0.02302158273381295, 0.29726618705035973, 0.27424460431654674, 0.04201438848920863, 0.33266187050359713]",6,62,300
352,y7ypj,0.2196215293935163,0.0481350621671533,55.06505,9.3663,"[0.3802197802197802, 0.0, 0.34175824175824177, 0.378021978021978, 0.16373626373626374, 0.38571428571428573]",6,350,350
331,x562z8,0.2174763988026709,0.0882873195142504,55.215624,9.371837,"[0.08128022104536035, 0.3536725765599816]",2,43,50
175,exxrn6,0.216984505363528,0.02550383125383,55.643012,12.274821,"[0.24839094159713945, 0.2433849821215733, 0.2069129916567342, 0.2362336114421931, 0.20905840286054828, 0.19594755661501786, 0.21549463647199046, 0.20119189511323005, 0.21120381406436234, 0.2171632896305125, 0.19284862932061977, 0.21239570917759237, 0.20882002383790227, 0.24266984505363529, 0.20715137067938022, 0.19880810488676998, 0.3032181168057211, 0.3775923718712753, 0.21239570917759237, 0.2133492252681764, 0.17497020262216925, 0.19499404052443384, 0.1902264600715137, 0.20572109654350418, 0.18212157330154946, 0.16924910607866508, 0.19785458879618595, 0.2061978545887962]",28,250,250
230,mw6eqe,0.2159463831754102,0.0474479194546687,54.948674,11.98818,"[0.2870348971573839, 0.2743240120175641, 0.23988906863877976, 0.04090593944996533, 0.237577998613358]",5,75,300
159,ee9pqp,0.2137022549470777,0.0393611117877794,55.521225,8.548019,"[0.17901518637827887, 0.19098021168890933, 0.21675103543488264, 0.2823285780027612, 0.21974229176254026, 0.20409572020248504, 0.18292682926829268, 0.23377818683847215]",8,300,300
335,x675q,0.2131718829263989,0.0376285589081645,55.66017,12.28545,"[0.32105628908964556, 0.2918693537178596, 0.32267778549918924, 0.2128793143386611, 0.1553960166743863, 0.0444650301065308, 0.14381658175081055]",7,22,75
288,qpzd63,0.2107831468697929,0.0361650452651107,55.465674,8.444136,"[0.14948821709116877, 0.20304689359676267, 0.19328731254463222, 0.21280647464889313, 0.19328731254463222, 0.2563675315401095, 0.19138300404665556, 0.2818376577005475, 0.20947393477743395, 0.2073315877172102, 0.18400380861699595, 0.24708402761247322]",12,250,250
339,xp67g9,0.2078541374474053,0.0251101475290547,55.53418,12.21714,"[0.12155212716222534, 0.40042075736325383, 0.1456287985039738, 0.4277699859747546, 0.16806919121084618, 0.16666666666666666, 0.15497896213183732, 0.18676951846657316, 0.19682094436652642, 0.10986442262739599]",10,22,150
258,p5zr9g,0.2074798619102416,0.0973082192651744,55.31711,10.789783,"[0.2193325661680092, 0.1956271576524741]",2,300,300
334,x62zj,0.2056852322625375,0.0908322106533384,55.561581,12.229786,"[0.18581003004391033, 0.22556043448116478]",2,75,175
298,rewedg,0.2051764705882353,0.0567394957983192,55.745197,12.556573,"[0.30211764705882355, 0.01811764705882353, 0.2952941176470588]",3,60,300
180,gex3p9,0.2028126452812645,0.0572938774685182,55.333163,8.770313,"[0.24848907484890748, 0.27405857740585776, 0.08391445839144585, 0.20478847047884705]",4,43,300
